id,name,synonym_names,taggings_count,name_with_ancestry
214361,Valencia Osceola,[],0,/ Valencia Osceola
214362,Valencia West,[],0,/ Valencia West
216162,Brendan Suhr,[],56,Brendan Suhr
216278,banners,[],35,banners
216280,Humberto López,[],9,Humberto López
216281,spanish,[],9,spanish
216284,banner,[],39,banner
216285,Cynthia Young,[],18,Cynthia Young
216286,Avelino Gonzalez,[],23,Avelino Gonzalez
216520,Mohamed Abdel-Aty,[],36,Mohamed Abdel-Aty
216521,car simulation,[],11,car simulation
216524,roadtrip,[],27,roadtrip
216525,nation,[],27,nation
216526,Johnathan Allen,[],27,Johnathan Allen
216527,rv,[],27,rv
216528,map,[],4,map
216939,vehicle,[],8,vehicle
216940,electric vehicle,[],8,electric vehicle
216941,Seminole State College,[],43,Seminole State College
216942,ouc,[],8,ouc
218080,Knight-Thon,[],563,Knight-Thon
222576,universal,[],134,universal
222681,water bottles,[],25,water bottles
222682,sustainability,[],24,sustainability
222684,waste,[],24,waste
222685,volunteers,[],59,volunteers
222686,recycling,[],25,recycling
222819,universal knights,[],15,universal knights
222820,line,[],15,line
222940,Dr. Phillips Center for the Performing Arts,"[""DPAC"", ""Dr. Phillips"", ""Dr. Phillips Center"", ""Dr. Phillips Performing Arts Center""]",521,Dr. Phillips Center for the Performing Arts
222941,DPAC,"[""Dr. Phillips Center for the Performing Arts"", ""Dr. Phillips"", ""Dr. Phillips Center"", ""Dr. Phillips Performing Arts Center""]",333,DPAC
222942,UCF Celebrates the Arts,"[""Celebrates the Arts""]",1579,UCF Celebrates the Arts
222943,Dr. Phillips,"[""Dr. Phillips Center for the Performing Arts"", ""DPAC"", ""Dr. Phillips Center""]",299,Dr. Phillips
223199,kate mulgrew,[],36,kate mulgrew
223200,Brian Greene,[],25,Brian Greene
223484,tryouts,[],96,tryouts
223485,teamwork,[],96,teamwork
224264,nurse practitioner,[],8,nurse practitioner
224270,COM opening,[],1,COM opening
224443,UCF Gallery,[],23,UCF Gallery
224446,sculpture,[],37,sculpture
224447,artists,"[""artist""]",23,artists
224461,Symphony Under the Stars,[],194,Symphony Under the Stars
225374,2015,[],1811,2015
227263,sitting,[],1,sitting
227264,cooking,[],19,cooking
227265,tasting,[],19,tasting
227266,chef,[],93,chef
227267,cook,[],126,cook
227270,exercising,"[""exercise""]",7,exercising
227271,weightlifting,[],13,weightlifting
227272,lifting,[],7,lifting
227273,rowing,[],54,rowing
227309,marketing,[],76,marketing
227310,awards,[],206,awards
227311,bronze quill,[],40,bronze quill
227312,excellence,[],40,excellence
227313,merit,[],40,merit
227483,Kitchen,[],86,Kitchen
227484,Rosen Admissions,[],137,Rosen Admissions
227488,Rosen Viewbook,[],137,Rosen Viewbook
227613,Buildings,[],232,/  / Buildings
227614,People,[],107,/  / People
227615,students,[],1519,/  / People / students
227616,Professors,[],51,/  / People / Professors
227617,Administration and Staff,[],38,/  / People / Administration and Staff
227618,John C Hitt Library,[],0,/  / Buildings / John C Hitt Library
227619,Nicholson School of Communication,[],0,/  / Buildings / Nicholson School of Communication
227620,Buildings,[],0,/ Rosen College / Buildings
227621,People,[],112,/ Rosen College / People
227622,People,[],0,/ College of Sciences / People
227623,Buildings,[],0,/ Orlando Area / Buildings
227624,People,[],66,/ Orlando Area / People
227625,Events,[],3,/ Orlando Area / Events
227626,Events,[],148,/  / Events
227627,Events,[],139,/ College of Sciences / Events
227628,Sports,[],90,/  / Sports
227632,CFE Arena,[],229,/  / Buildings / CFE Arena
227633,Fraternities and Sororities,[],0,/  / Buildings / Fraternities and Sororities
227634,Arboretum,[],162,/  / Buildings / Arboretum
227635,Art Gallery,[],15,/  / Buildings / Art Gallery
227637,Biological Sciences,[],32,/  / Buildings / Biological Sciences
227639,Dormitories,[],0,/  / Buildings / Dormitories
227640,Brevard Hall,[],1,/  / Buildings / Dormitories / Brevard Hall
227641,Burnett Honors College,[],74,/  / Buildings / Burnett Honors College
227642,Bright House Networks Stadium,"[""Bright House Stadium""]",128,/  / Buildings / Bright House Networks Stadium
227643,Burnett House,[],0,/  / Buildings / Dormitories / Burnett House
227644,Burnett School of Biological Sciences,[],0,/  / Buildings / Burnett School of Biological Sciences
227645,Business Administration I,[],1,/  / Buildings / Business Administration I
227646,Business Administration II,[],2,/  / Buildings / Business Administration II
227647,Career Services and Experiential Learning,[],0,/  / Buildings / Career Services and Experiential Learning
227648,Center for Emerging Media,[],81,/  / Buildings / Center for Emerging Media
227649,Challenge Course,[],114,/  / Buildings / Challenge Course
227650,chemistry,[],34,/  / Buildings / chemistry
227651,Chi Omega - Sorority,[],0,/  / Buildings / Fraternities and Sororities / Chi Omega - Sorority
227652,Alpha Delta Pi - Sorority,[],0,/  / Buildings / Fraternities and Sororities / Alpha Delta Pi - Sorority
227653,Alpha Tau Omega - Fraternity,[],0,/  / Buildings / Fraternities and Sororities / Alpha Tau Omega - Fraternity
227654,Alpha Xi Delta - Sorority,[],0,/  / Buildings / Fraternities and Sororities / Alpha Xi Delta - Sorority
227655,Citrus Hall,[],1,/  / Buildings / Dormitories / Citrus Hall
227656,Classroom Building I,"[""Classroom 1"", ""Classroom I"", ""Classroom One""]",0,/  / Buildings / Classroom Building I
